,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Demanda Bioquímica de Oxígeno (DBO) [mg/L],Demanda Química de Oxígeno (DQO) [mg/L],Sólidos Suspendidos Totales (SST) [mg/L],Coliformes Fecales (CF) [NMP/100mL],E. Coli (EC) [NMP/100mL],Enterococos (ENT) [NMP/100mL],Toxicidad aguda (TA) [UTa],Oxígeno Disuelto (OD) [mg/L],SEMAFORO,CONTAMINANTES
2661,OCFSU2959,RIO AZUL,FRONTERA SUR,CHIAPAS,LA TRINITARIA,SELEGUA,RIO AZUL,LÓTICO,RÍO,-91.90477,15.80096,2012-2023,<3,13.12,<25,390,390,,<1,74.7,Verde,
2662,OCFSU2960,RIO GRIJALVA 2(25),FRONTERA SUR,CHIAPAS,FRONTERA COMALAPA,SAN MIGUEL,RIO GRIJALVA,LÓTICO,RÍO,-92.16665,15.693,2012-2023,4.8,35.62,60,430,430,,1.08,69.86,Verde,
2663,OCFSU2961,RIO GRIJALVA 26,FRONTERA SUR,CHIAPAS,FRONTERA COMALAPA,SAN MIGUEL,RIO GRIJALVA,LÓTICO,RÍO,-92.2042,15.82156,2012-2023,4.44,26.84,42,930,750,,1.13,79.06,Verde,
2664,OCFSU2962,PRESA LA ANGOSTURA 2,FRONTERA SUR,CHIAPAS,SOCOLTENANGO,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMÍNGUEZ (LA ANGOSTURA),LÉNTICO (HUMEDAL),PRESA,-92.493022,16.060456,2012-2023,6.36,21.12,<25,4,4,,,,Verde,
2665,OCFSU2963,PRESA LA ANGOSTURA 4,FRONTERA SUR,CHIAPAS,SOCOLTENANGO,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMÍNGUEZ (LA ANGOSTURA),LÉNTICO (HUMEDAL),PRESA,-92.52356,16.10099,2012-2023,4.5,19.52,<25,<3,<3,,,,Verde,
2666,OCFSU2964,PRESA LA ANGOSTURA 3,FRONTERA SUR,CHIAPAS,LA CONCORDIA,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMÍNGUEZ (LA ANGOSTURA),LÉNTICO (HUMEDAL),PRESA,-92.56103,16.11814,2012-2023,4.2,21.9,<25,4,<3,,,,Verde,
2667,OCFSU2965,RIO SAN VICENTE 4,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO SAN VICENTE,LÓTICO,RÍO,-92.45029,16.21274,2012-2023,3.45,20.175,<25,930,930,,<1,68.4,Amarillo,"E_COLI,"
2668,OCFSU2966,SUMIDERO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,RIO AMARILLO,LÓTICO,RÍO,-92.645656,16.713758,2012-2023,39.9,86.86,38.5,2400,2400,,1.76,25.11,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
2669,OCFSU2967,RIO FOGOTICO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,RIO FOGOTICO,LÓTICO,RÍO,-92.61464,16.7338,2012-2023,<3,18.625,<25,230,230,,<1,66.3,Verde,
2670,OCFSU2968,HUMEDALES DE MONTAÑAS LA KISST 1,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,HUMEDAL LA KISST,LÓTICO (HUMEDAL),RÍO,-92.64893,16.72978,2012-2023,3.725,16.05,<25,150,150,,<1,41.865,Verde,
2671,OCFSU2969,HUMEDALES DE MONTAÑAS LA KISST 2,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,CUERPO DE AGUA DEL HUMEDAL,LÓTICO (HUMEDAL),RÍO,-92.64697,16.72885,2012-2023,3.54,22.08,<25,120,93,,<1,48.760000000000005,Verde,
2672,OCFSU2970,RIO CHACAMAX 2,FRONTERA SUR,CHIAPAS,PALENQUE,CHACAMAX,RIO CHACAMAX,LÓTICO,RÍO,-91.95372,17.49416,2012-2023,<3,15.600000000000001,<25,200,200,,<1,75.4,Verde,
2673,OCFSU2971,RIO FOGOTICO AGUAS ABAJO DEL RIO AMARILLO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,RIO FOGOTICO,LÓTICO,RÍO,-92.64666,16.72649,2012-2023,13.28,47.04,<25,11000,4600,,<1,43.4,Rojo,"DQO,CF,E_COLI,TOX_L,"
2674,OCFSU2972,RIO AMARILLO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASÉN,RIO AMARILLO,LÓTICO,RÍO,-92.61793,16.74755,2012-2023,3.465,14.52,<25,750,750,,<1,61.9,Verde,
2675,OCFSU2973,RIO GRANDE 7,FRONTERA SUR,CHIAPAS,LAS ROSAS,CHACTÉ,RIO GRANDE,LÓTICO,RÍO,-92.4772,17.07174,2012-2023,<3,<10,<25,90,90,,<1,74.435,Verde,
2676,OCFSU2973M1,RIO CHACTÉ,FRONTERA SUR,CHIAPAS,LAS ROSAS,CHACTÉ,RIO GRANDE,LÓTICO,RÍO,-92.33976,16.93908,2012-2023,7.02,20.585,<25,35.75,35.75,,<1,88.65,Verde,
2677,OCFSU2974,RIO GRANDE 6,FRONTERA SUR,CHIAPAS,PANTELHO,CHACTÉ,RIO GRANDE,LÓTICO,RÍO,-92.49653,17.08445,2012-2023,3.99,15.38,<25,72.5,72.5,,<1,75.7,Verde,
2678,OCFSU2975,RIO GRANDE 9,FRONTERA SUR,CHIAPAS,SIMOJOVEL,CHACTÉ,RIO GRANDE,LÓTICO,RÍO,-92.59321,17.12958,2012-2023,3.795,14.88,<25,70,70,,<1,78.4,Verde,
2679,OCFSU2976,RIO GRANDE 8,FRONTERA SUR,CHIAPAS,HUITIUPAN,ALMENDRO,RIO GRANDE,LÓTICO,RÍO,-92.66496,17.1979,2012-2023,<3,<10,29,1125,570,,<1,69.86,Amarillo,"CF,"
2680,OCFSU2976M1,PUENTE ROSARIO-GUADALUPE,FRONTERA SUR,CHIAPAS,COMITAN DE DOMINGUEZ,COMITÁN,RIO GRANDE,LÓTICO,RÍO,-92.08452,16.23385,2012-2023,75.31,204.53,44,24000,24000,,1.691,22.85,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
2681,OCFSU2977,RIO CATARINA 4,FRONTERA SUR,CHIAPAS,HUITIUPAN,CHACTÉ,RIO CATARINA,LÓTICO,RÍO,-92.64291,17.14874,2012-2023,3.45,18.48,<25,230,230,,<1,77.56,Verde,
2682,OCFSU2978,RIO CATARINA 2,FRONTERA SUR,CHIAPAS,HUITIUPAN,ALMENDRO,RIO CATARINA,LÓTICO,RÍO,-92.65781,17.161,2012-2023,3.45,20.3,<25,430,430,,<1,66.55,Verde,
2683,OCFSU2979,RIO CATARINA 3,FRONTERA SUR,CHIAPAS,HUITIUPAN,ALMENDRO,RIO CATARINA,LÓTICO,RÍO,-92.67244,17.18119,2012-2023,<3,15.695,<25,150,150,,<1,73.5,Verde,
2684,OCFSU2979M1,RIO HUEHUETAN 1,FRONTERA SUR,CHIAPAS,HUEHUETAN,HUEHUETÁN,RIO HUEHUETAN,LÓTICO,RÍO,-92.36121,15.033582,2012-2023,5.91,34.08,<25,90,90,,<1,82.15,Verde,
2685,OCFSU2980,RIO CATARINA 1,FRONTERA SUR,CHIAPAS,HUITIUPAN,ALMENDRO,RIO CATARINA,LÓTICO,RÍO,-92.67267,17.18403,2012-2023,<3,12.48,<25,310,235,,<1,75.4,Verde,
2686,OCFSU2980M1,RIO HUEHUETAN 2,FRONTERA SUR,CHIAPAS,HUEHUETAN,HUEHUETÁN,RIO HUEHUETAN,LÓTICO,RÍO,-92.501045,14.984051,2012-2023,7.68,31.28,32,390,390,,<1,76,Verde,
2687,OCFSU2981,PARQUE ECOLOGICO OSUMACINTA,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.09297,16.93472,2012-2023,3.33,20.01,<25,75,40,,,,Verde,
2688,OCFSU2982,PRESA CHICOASEN 2,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.0919,16.90213,2012-2023,4.005,20.42,<25,59,29,,,,Verde,
2689,OCFSU2983,C.H. CHICOASEN AGUAS ARRIBA,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.09783,16.92513,2012-2023,3.3449999999999998,16.169999999999998,<25,6.5,<3,,,,Verde,
2690,OCFSU2984,PARQUE ECOLOGICO AMIKUU,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.10415,16.88565,2012-2023,4.77,19.915,<25,4,<3,,,,Verde,
2691,OCFSU2985,FALLA MUÑIZ,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.11468,16.8903,2012-2023,4.025,19.685000000000002,<25,4.25,<3,,,,Verde,
2692,OCFSU2986,ARBOL DE NAVIDAD,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,RIO GRIJALVA,LÓTICO (HUMEDAL),RÍO,-93.10673,16.87553,2012-2023,3,20.095,<25,230,210,,<1,72.08,Verde,
2693,OCFSU2987,MIRADOR LA ATALAYA,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,PRESA CHICOASÉN,RIO GRIJALVA,LÓTICO (HUMEDAL),RÍO,-93.095697,16.836051,2012-2023,<3,20.57,<25,930,590,,<1,70.3,Verde,
2694,OCFSU2988,CAÑON DEL SUMIDERO ENTRADA,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,PRESA CHICOASÉN,RIO GRIJALVA,LÓTICO (HUMEDAL),RÍO,-93.06881,16.80066,2012-2023,3.06,20.1,<25,2400,2400,,<1,68.09,Amarillo,"CF,E_COLI,"
2695,OCFSU2990,PTAR TUXTLAN AGUAS ARRIBA,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIÉRREZ,RIO SABINAL,LÓTICO,RÍO,-93.14946,16.75929,2012-2023,5.645,29.424999999999997,<25,4600,4600,,2.21,52.235,Rojo,"CF,E_COLI,TOX_L,"
2696,OCFSU2991,ARROYO SAN AGUSTIN A.A. DEL RIO SABINAL,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIÉRREZ,ARROYO SAN AGUSTIN,LÓTICO,ARROYO,-93.159766,16.757639,2012-2023,5.125,27.985,<25,3500,2400,,<1,57.4,Rojo,"CF,E_COLI,TOX_L,"
2697,OCFSU2992,CLUB CAMPESTRE,FRONTERA SUR,CHIAPAS,TUXTLA GUTIERREZ,TUXTLA GUTIÉRREZ,RIO SABINAL,LÓTICO,RÍO,-93.18673,16.75375,2012-2023,3.8,15.97,<25,1500,1500,,<1,64.08,Amarillo,"CF,E_COLI,"
2698,OCFSU2995,C.H. CHICOASEN (FTE.  A LA CORTINA),FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.09962,16.934944,2012-2023,3.15,19.2,<25,39,23,,,,Verde,
2699,OCFSU2996,RIO GRIJALVA AGUAS ABAJO CHIACOSEN,FRONTERA SUR,CHIAPAS,CHICOASEN,ALTO GRIJALVA,RIO GRIJALVA,LÓTICO,RÍO,-93.11525,16.96432,2012-2023,4.2,15.87,<25,930,930,,<1,66.265,Amarillo,"E_COLI,"
2700,OCFSU2997,DESCARGA RIO HONDO,FRONTERA SUR,CHIAPAS,OSUMACINTA,PRESA CHICOASÉN,PRESA CHICOASEN,LÉNTICO (HUMEDAL),PRESA,-93.05663,16.89441,2012-2023,3.66,25.3,<25,23,<3,,,,Verde,
2701,OCFSU2998,RIO GRIJALVA 9,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,RIO GRIJALVA,LÓTICO (HUMEDAL),RÍO,-93.3963,17.03913,2012-2023,3.96,15.36,<25,180,150,,<1,76.44999999999999,Verde,
2702,OCFSU2999,RIO GRIJALVA 8,FRONTERA SUR,CHIAPAS,CHICOASEN,ALTO GRIJALVA,RIO GRIJALVA,LÓTICO,RÍO,-93.16348,16.98555,2012-2023,3.365,12.28,<25,750,695,,<1,66.3,Verde,
2703,OCFSU3000,RIO GRIJALVA 7,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,RIO GRIJALVA,LÓTICO (HUMEDAL),RÍO,-93.39415,17.01982,2012-2023,3.65,15.74,<25,150,135,,<1,78,Verde,
2704,OCFSU3001,C.H. NETZAHUALCOYOTL A.A. APICPAC,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.45285,17.0632,2012-2023,<3,15.36,<25,<3,<3,,,,Verde,
2705,OCFSU3002,PRESA NEZAHUALCOYOTL 3,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.514,17.1227,2012-2023,3.24,22.37,<25,<3,<3,,,,Verde,
2706,OCFSU3003,C.H.NETZAHUALCOYOTL A.M. A 12 KM DE CRIADERO DE PECES,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.53594,17.1317,2012-2023,3.09,20.48,<25,<3,<3,,,,Verde,
2707,OCFSU3004,PRESA NEZAHUALCOYOTL 5,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NEZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.6162,17.1791,2012-2023,3.1,23.13,<25,40,40,,,,Verde,
2708,OCFSU3005,C.H.NETZAHUALCOYOTL FTE. A LA CORTINA,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.6009,17.1736,2012-2023,3.9,15.84,<25,<3,<3,,,,Verde,
2709,OCFSU3006,PUENTE RAUDALE DE MALPASO (65),FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,RIO GRIJALVA,LÓTICO,RÍO,-93.59606,17.18933,2012-2023,3.825,15.77,<25,590,590,,<1,65.285,Verde,
2710,OCFSU3007,PRESA NEZAHUALCOYOTL 2,FRONTERA SUR,CHIAPAS,TECPATAN,PRESA NEZAHUALCÓYOTL,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.67608,17.1584,2012-2023,<3,22.18,<25,<3,<3,,,,Verde,
2711,OCFSU3008,PRESA NEZAHUALCOYOTL 1,FRONTERA SUR,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,DE LA VENTA,PRESA NETZAHUALCOYOTL,LÉNTICO (HUMEDAL),PRESA,-93.80875,17.04103,2012-2023,3.375,19.11,<25,4,<3,,,,Verde,
2712,OCFSU3009,RIO LA VENTA 3,FRONTERA SUR,CHIAPAS,CINTALAPA,CINTALAPA,RIO LA VENTA,LÓTICO,RÍO,-93.74933,16.6911,2012-2023,3.48,19.2,26,200,200,,<1,74.185,Verde,
2713,OCFSU3010,RIO LA VENTA 2,FRONTERA SUR,CHIAPAS,JIQUIPILAS,CINTALAPA,RIO LA VENTA,LÓTICO,RÍO,-93.66954,16.68715,2012-2023,8,26.564999999999998,36,1300,1015,,<1,54,Amarillo,"CF,E_COLI,"
2714,OCFSU3011,RIO LA VENTA 1,FRONTERA SUR,CHIAPAS,JIQUIPILAS,DE LA VENTA,RIO LA VENTA,LÓTICO,RÍO,-93.56071,16.69286,2012-2023,5.125,23.134999999999998,27,430,430,,<1,73,Verde,
2715,OCFSU3012,RIO LA VENTA 8,FRONTERA SUR,CHIAPAS,CINTALAPA,CINTALAPA,RIO LA VENTA,LÓTICO,RÍO,-93.86855,16.58544,2012-2023,4.44,20.98,<25,210,210,,<1,72.5,Verde,
2716,OCFSU3013,RIO LA VENTA 5,FRONTERA SUR,CHIAPAS,CINTALAPA,CINTALAPA,RIO LA VENTA,LÓTICO,RÍO,-93.96089,16.51595,2012-2023,3.285,19.84,<25,390,260,,<1,67.84,Verde,
2717,OCFSU3014,ABASTECIMIENTO EL MANGUITO,FRONTERA SUR,CHIAPAS,ARRIAGA,LA PUNTA,RIO LAGARTERO,LÓTICO,RÍO,-93.87582,16.25945,2012-2023,4.92,23.14,<25,430,116.5,,<1,74.97999999999999,Verde,
2718,OCFSU3015,LAGUNA MAR MUERTO 6,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA MAR MUERTO C,LAGUNA MAR MUERTO,COSTERO (HUMEDAL),LAGUNA,-93.91898,16.0871,2012-2023,,,82.5,<3,,<3,,,Verde,
2719,OCFSU3016,LAGUNA MAR MUERTO 5,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA MAR MUERTO C,LAGUNA MAR MUERTO,COSTERO (HUMEDAL),LAGUNA,-93.88911,16.07054,2012-2023,,,65,40,,<3,,,Verde,
2720,OCFSU3017,LAGUNA MAR MUERTO 1,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA MAR MUERTO C,LAGUNA MAR MUERTO,COSTERO (HUMEDAL),LAGUNA,-93.8712,16.0414,2012-2023,,,83,52,,<3,,,Verde,
2721,OCFSU3018,SISTEMA ESTUARINO PUERTO ARISTA 3,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA MAR MUERTO C,SISTEMA ESTUARINO PUERTO ARISTA,COSTERO (HUMEDAL),ESTUARIO,-93.83118,15.99433,2012-2023,,,56,14,,<3,,,Verde,
2722,OCFSU3019,"A 5KM DE PUERTO ARISTA SEG 68, 1 ISA10B",FRONTERA SUR,CHIAPAS,TONALA,SANATENCO,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.851478,15.953019,2012-2023,,,52,<3,,<3,,,Verde,
2723,OCFSU3020,"A 4.5 KM DE PUERTO ARISTA SEG 68, 2 ISA10B",FRONTERA SUR,CHIAPAS,TONALA,SANATENCO,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.846308,15.950333,2012-2023,,,58,<3,,<3,,,Verde,
2724,OCFSU3021,"PUERTO ARISTA SEG 68, 3 ISA10B",FRONTERA SUR,CHIAPAS,TONALA,SANATENCO,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.809733,15.930819,2012-2023,,,73,<3,,<3,,,Verde,
2725,OCFSU3022,"PUERTO ARISTA SEG 68, 4 ISA10B",FRONTERA SUR,CHIAPAS,TONALA,SANATENCO,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.806286,15.928981,2012-2023,,,46,<3,,<3,,,Verde,
2726,OCFSU3023,LAGUNA LA JOYA 5,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,LAGUNA LA JOYA,COSTERO (HUMEDAL),LAGUNA,-93.77869,15.93741,2012-2023,,,80.5,<3,,<3,,,Verde,
2727,OCFSU3024,LAGUNA LA JOYA 6,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,LAGUNA LA JOYA,COSTERO (HUMEDAL),LAGUNA,-93.75476,15.94804,2012-2023,,,105,<3,,<3,,,Verde,
2728,OCFSU3025,SISTEMA ESTUARINO PUERTO ARISTA 1,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,SISTEMA ESTUARINO PUERTO ARISTA,COSTERO (HUMEDAL),ESTUARIO,-93.69314,15.91829,2012-2023,,,50,<3,,<3,,,Verde,
2729,OCFSU3026,LAGUNA LA JOYA 2,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,LAGUNA LA JOYA,COSTERO (HUMEDAL),LAGUNA,-93.67158,15.94969,2012-2023,,,65,<3,,<3,,,Verde,
2730,OCFSU3027,SISTEMA ESTUARINO PUERTO ARISTA 2,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,SISTEMA ESTUARINO PUERTO ARISTA,COSTERO (HUMEDAL),ESTUARIO,-93.64928,15.9375,2012-2023,,,69,9,,<3,,,Verde,
2731,OCFSU3028,SISTEMA ESTUARINO BOCA DEL CIELO 3,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,SISTEMA ESTUARINO BOCA DEL CIELO,COSTERO (HUMEDAL),ESTUARIO,-93.66199,15.87287,2012-2023,,,56.5,<3,,<3,,,Verde,
2732,OCFSU3029,LAGUNA LA JOYA 9,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,LAGUNA LA JOYA,COSTERO (HUMEDAL),LAGUNA,-93.68641,15.86072,2012-2023,,,70,<3,,<3,,,Verde,
2733,OCFSU3030W1,LAGUNA LA JOYA 8,FRONTERA SUR,CHIAPAS,TONALA,LAGUNA DE LA JOYA,LAGUNA LA JOYA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,-93.58886,15.83355,2012-2023,7.47,33.635,60,<3,<3,<3,,,Verde,
2734,OCFSU3031W1,LAGUNA LA JOYA 7,FRONTERA SUR,CHIAPAS,TONALA,JESÚS,LAGUNA LA JOYA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,-93.57961,15.81001,2012-2023,7.17,29.04,48,<3,<3,<3,,,Verde,
2735,OCFSU3032W1,LAGUNA LA JOYA 4,FRONTERA SUR,CHIAPAS,TONALA,JESÚS,LAGUNA LA JOYA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,-93.54704,15.79538,2012-2023,19.56,149.02,61,30,<3,<3,,,Rojo,"DQO,"
2736,OCFSU3033W1,LAGUNA LA JOYA 1,FRONTERA SUR,CHIAPAS,TONALA,JESÚS,LAGUNA LA JOYA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,-93.5267,15.7633,2012-2023,7.17,39.69,44,<3,20.75,<3,,,Verde,
2737,OCFSU3034W1,SISTEMA ESTUARINO BOCA DEL CIELO 2,FRONTERA SUR,CHIAPAS,TONALA,JESÚS,SISTEMA ESTUARINO BOCA DEL CIELO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,-93.50629,15.76756,2012-2023,13.82,37.27,42,<3,70,<3,<1,62.4,Amarillo,"OD%M,OD%F,"
2738,OCFSU3035W1,SISTEMA ESTUARINO BOCA DEL CIELO 1,FRONTERA SUR,CHIAPAS,TONALA,JESÚS,SISTEMA ESTUARINO BOCA DEL CIELO,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,-93.51442,15.74165,2012-2023,14.76,59.56,52,<3,75,<3,<1,59.35,Rojo,"DQO,"
2739,OCFSU3036W1,LAGUNA LA JOYA 3,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,EL PORVENIR,LAGUNA LA JOYA,LÉNTICO - COSTERO (HUMEDAL),LAGUNA,-93.4191,15.773,2012-2023,6.12,22.86,57,40,20.75,<3,,,Verde,
2740,OCFSU3037,"PLAYA JUNTO A EMBARCADERO LA CONQUISTA SEG69, 1 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,EL PORVENIR,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.41513,15.65757,2012-2023,,,54,<3,,<3,,,Verde,
2741,OCFSU3038,"PLAYA JUNTO A EMBARCADERO LA CONQUISTA SEG 69, 2 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,EL PORVENIR,OCEANO PACIFICO,COSTERO (HUMEDAL),BAHIA,-93.41174,15.6545,2012-2023,,,58,<3,,<3,,,Verde,
2742,OCFSU3039,"SEGMENTO 69, 1 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,SAN DIEGO,OCEANO PACIFICO,COSTERO,BAHIA,-93.34917,15.60208,2012-2023,,,51,4,,<3,,,Verde,
2743,OCFSU3040,"SEGMENTO 69, 2 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,SAN DIEGO,OCEANO PACIFICO,COSTERO,BAHIA,-93.3437,15.5977,2012-2023,,,52,30,,<3,,,Verde,
2744,OCFSU3041W1,"DESEMBOCADURA DEL RIO URBINA SEG 69, 3 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,MARGARITAS Y COAPA,TRANSICION RIO - MAR,COSTERO (HUMEDAL),ESTERO,-93.32493,15.58121,2012-2023,,,56.5,23,,<3,,,Verde,
2745,OCFSU3042W1,"DESEMBOCADURA DEL RIO URBINA SEG 69, 4 ISA7",FRONTERA SUR,CHIAPAS,PIJIJIAPAN,PIJIJIAPAN,TRANSICION RIO - MAR,LÓTICO - COSTERO,ESTERO,-93.31564,15.57948,2012-2023,,,46,6.5,,<3,,,Verde,
2746,OCFSU3043,RESERVA DE LA BIOSFERA LA ENCRUCIJADA 6,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,MARGARITAS Y COAPA,CUERPO DE AGUA DEL HUMEDAL,LÓTICO (HUMEDAL),RÍO,-93.23706,15.55263,2012-2023,7.885,60.48,28,93,40,,1.6,51.5,Rojo,"DQO,"
2747,OCFSU3044,RESERVA DE LA BIOSFERA LA ENCRUCIJADA 5,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,MARGARITAS Y COAPA,CUERPO DE AGUA DEL HUMEDAL,COSTERO (HUMEDAL),ESTERO,-93.2233,15.50796,2012-2023,,,48,20.75,,<3,,,Verde,
2748,OCFSU3045,RESERVA DE LA BIOSFERA LA ENCRUCIJADA 4,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,MARGARITAS Y COAPA,CUERPO DE AGUA DEL HUMEDAL,LÓTICO (HUMEDAL),RÍO,-93.15173,15.48348,2012-2023,7.05,67.91,39,210,175,,1.5,66,Rojo,"DQO,"
2749,OCFSU3046,RIO PIJIJIAPAN 2,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,PIJIJIAPAN,RIO PIJIJIAPAN,LÓTICO,RÍO,-93.21907,15.67258,2012-2023,3.355,22.08,<25,200,110,,<1,80.3,Verde,
2750,OCFSU3047,RIO PIJIJIAPAN 1,FRONTERA SUR,CHIAPAS,PIJIJIAPAN,PIJIJIAPAN,RIO PIJIJIAPAN,LÓTICO,RÍO,-93.21074,15.6989,2012-2023,3.21,22.990000000000002,<25,150,140,,<1,76.53,Verde,
2751,OCFSU3049,LOS AMATES,FRONTERA SUR,CHIAPAS,VILLAFLORES,SANTO DOMINGO,RIO LOS AMATES,LÓTICO,RÍO,-93.33557,16.20966,2012-2023,3.21,18.43,<25,430,240,,<1,79.65,Verde,
2752,OCFSU3050,R. SANTO DOMINGO (HERMENEGILDO GALEANA),FRONTERA SUR,CHIAPAS,VILLAFLORES,SANTO DOMINGO,RIO SANTO DOMINGO,LÓTICO,RÍO,-93.20357,16.27743,2012-2023,3.08,25.115000000000002,<25,930,930,,<1,67.5,Amarillo,"E_COLI,"
2753,OCFSU3051,ABASTECIMIENTO RIO ZANATENCO,FRONTERA SUR,CHIAPAS,TONALA,SANATENCO,RIO ZANATENCO,LÓTICO,RÍO,-93.72305,16.08672,2012-2023,5.19,23.86,<25,155,91.5,,<1,75.4,Verde,
